Energy(MeV)	Mass Attenuation(cm^2/g)	
6.900E-02	2.492E-01	
6.950E-02	2.474E-01	
7.000E-02	2.457E-01	
7.050E-02	2.440E-01	
7.100E-02	2.423E-01	
7.150E-02	2.407E-01	
7.200E-02	2.391E-01	
7.250E-02	2.376E-01	
7.300E-02	2.361E-01	
7.350E-02	2.346E-01
7.400E-02	2.332E-01	
7.450E-02	2.318E-01	
7.500E-02	2.304E-01	
7.550E-02	2.290E-01	
7.600E-02	2.277E-01	
7.650E-02	2.264E-01	
7.700E-02	2.252E-01	
7.750E-02	2.239E-01	
7.800E-02	2.227E-01	
7.850E-02	2.215E-01	
7.900E-02	2.203E-01	
7.950E-02	2.192E-01	
8.000E-02	2.181E-01	
8.050E-02	2.170E-01	
8.100E-02	2.159E-01	
8.150E-02	2.149E-01	
8.200E-02	2.138E-01	
8.250E-02	2.128E-01	
8.300E-02	2.118E-01	
8.350E-02	2.108E-01	
8.400E-02	2.099E-01	
8.450E-02	2.089E-01	
8.500E-02	2.080E-01	
8.550E-02	2.071E-01	
8.600E-02	2.062E-01	
8.650E-02	2.053E-01	
8.700E-02	2.045E-01	
8.750E-02	2.036E-01	
8.800E-02	2.028E-01	
8.850E-02	2.020E-01	
8.900E-02	2.012E-01	
8.950E-02	2.004E-01	
9.000E-02	1.996E-01	
9.050E-02	1.988E-01	
9.100E-02	1.981E-01	
9.150E-02	1.973E-01	
9.200E-02	1.966E-01	
9.250E-02	1.959E-01	
9.300E-02	1.952E-01	
9.350E-02	1.945E-01	
9.400E-02	1.938E-01	
9.450E-02	1.932E-01	
9.500E-02	1.925E-01	
9.550E-02	1.918E-01	
9.600E-02	1.912E-01	
9.650E-02	1.906E-01	
9.700E-02	1.900E-01	
9.750E-02	1.893E-01	
9.800E-02	1.887E-01	
9.850E-02	1.881E-01	
9.900E-02	1.876E-01	
9.950E-02	1.870E-01	
1.000E-01	1.864E-01	
1.005E-01	1.858E-01	
1.010E-01	1.853E-01	
1.015E-01	1.847E-01	
1.020E-01	1.842E-01	
1.025E-01	1.837E-01	
1.030E-01	1.831E-01	
1.035E-01	1.826E-01	
1.040E-01	1.821E-01	
1.045E-01	1.816E-01	
1.050E-01	1.811E-01	
1.055E-01	1.806E-01	
1.060E-01	1.801E-01	
1.065E-01	1.797E-01	
1.070E-01	1.792E-01	
1.075E-01	1.787E-01	
1.080E-01	1.783E-01	
1.085E-01	1.778E-01	
1.090E-01	1.774E-01	
1.095E-01	1.769E-01	
1.100E-01	1.765E-01	
1.105E-01	1.760E-01	
1.110E-01	1.756E-01	
1.115E-01	1.752E-01	
1.120E-01	1.748E-01	
1.125E-01	1.744E-01	
1.130E-01	1.739E-01	
1.135E-01	1.735E-01	
1.140E-01	1.731E-01	
1.145E-01	1.727E-01	
1.150E-01	1.724E-01	
1.155E-01	1.720E-01	
1.160E-01	1.716E-01	
1.165E-01	1.712E-01	
1.170E-01	1.708E-01	
1.175E-01	1.705E-01	
1.180E-01	1.701E-01	
1.185E-01	1.697E-01	
1.190E-01	1.694E-01	
1.195E-01	1.690E-01	
1.200E-01	1.687E-01	
1.205E-01	1.683E-01	
1.210E-01	1.680E-01	
1.215E-01	1.676E-01	
1.220E-01	1.673E-01	
1.225E-01	1.670E-01	
1.230E-01	1.666E-01	
1.235E-01	1.663E-01	
1.240E-01	1.660E-01	
1.245E-01	1.656E-01	
1.250E-01	1.653E-01	
1.255E-01	1.650E-01	
1.260E-01	1.647E-01	
1.265E-01	1.644E-01	
1.270E-01	1.641E-01
1.275E-01	1.638E-01	
1.280E-01	1.635E-01	
1.285E-01	1.632E-01	
1.290E-01	1.629E-01	
1.295E-01	1.626E-01	
1.300E-01	1.623E-01	
1.305E-01	1.620E-01	
1.310E-01	1.617E-01	
1.315E-01	1.614E-01	
1.320E-01	1.611E-01	
1.325E-01	1.609E-01	
1.330E-01	1.606E-01	
1.335E-01	1.603E-01	
1.340E-01	1.600E-01	
1.345E-01	1.598E-01	
1.350E-01	1.595E-01			
