Energy(MeV)	Mass Attenuation(cm^2/g)	
1.125E-01	1.599E-01	
1.130E-01	1.596E-01	
1.135E-01	1.594E-01	
1.140E-01	1.592E-01	
1.145E-01	1.590E-01	
1.150E-01	1.588E-01	
1.155E-01	1.586E-01	
1.160E-01	1.583E-01	
1.165E-01	1.581E-01	
1.170E-01	1.579E-01	
1.175E-01	1.577E-01	
1.180E-01	1.575E-01	
1.185E-01	1.573E-01	
1.190E-01	1.571E-01	
1.195E-01	1.569E-01	
1.200E-01	1.567E-01	
1.205E-01	1.565E-01	
1.210E-01	1.563E-01	
1.215E-01	1.561E-01	
1.220E-01	1.559E-01	
1.225E-01	1.557E-01	
1.230E-01	1.555E-01	
1.235E-01	1.553E-01	
1.240E-01	1.551E-01	
1.245E-01	1.549E-01	
1.250E-01	1.547E-01	
1.255E-01	1.545E-01	
1.260E-01	1.543E-01	
1.265E-01	1.541E-01	
1.270E-01	1.540E-01
1.275E-01	1.538E-01	
1.280E-01	1.536E-01	
1.285E-01	1.534E-01	
1.290E-01	1.532E-01	
1.295E-01	1.530E-01	
1.300E-01	1.529E-01	
1.305E-01	1.527E-01	
1.310E-01	1.525E-01	
1.315E-01	1.523E-01	
1.320E-01	1.521E-01	
1.325E-01	1.520E-01	
1.330E-01	1.518E-01	
1.335E-01	1.516E-01	
1.340E-01	1.514E-01	
1.345E-01	1.513E-01	
1.350E-01	1.511E-01		
