Energy(MeV)	Mass Attenuation(cm^2/g)
2.000E-02	4.001E+00	
2.050E-02	3.734E+00	
2.100E-02	3.490E+00	
2.150E-02	3.269E+00	
2.200E-02	3.066E+00	
2.250E-02	2.881E+00	
2.300E-02	2.711E+00	
2.350E-02	2.556E+00	
2.400E-02	2.412E+00	
2.450E-02	2.280E+00	
2.500E-02	2.158E+00	
2.550E-02	2.045E+00	
2.600E-02	1.941E+00	
2.650E-02	1.844E+00	
2.700E-02	1.754E+00	
2.750E-02	1.671E+00	
2.800E-02	1.593E+00	
2.850E-02	1.521E+00	
2.900E-02	1.453E+00	
2.950E-02	1.390E+00	
3.000E-02	1.331E+00	
3.050E-02	1.276E+00	
3.100E-02	1.224E+00	
3.150E-02	1.175E+00	
3.200E-02	1.129E+00	
3.250E-02	1.086E+00	
3.300E-02	1.046E+00	
3.350E-02	1.008E+00	
3.400E-02	9.720E-01	
3.450E-02	9.381E-01	
3.500E-02	9.061E-01	
3.550E-02	8.759E-01	
3.600E-02	8.472E-01	
3.650E-02	8.201E-01	
3.700E-02	7.945E-01	
3.750E-02	7.701E-01	
3.800E-02	7.470E-01	
3.850E-02	7.251E-01	
3.900E-02	7.042E-01	
3.950E-02	6.844E-01	
4.000E-02	6.656E-01	
4.050E-02	6.476E-01	
4.100E-02	6.305E-01	
4.150E-02	6.142E-01	
4.200E-02	5.987E-01	
4.250E-02	5.838E-01	
4.300E-02	5.697E-01	
4.350E-02	5.561E-01	
4.400E-02	5.432E-01	
4.450E-02	5.308E-01	
4.500E-02	5.189E-01	
4.550E-02	5.076E-01	
4.600E-02	4.967E-01	
4.650E-02	4.863E-01	
4.700E-02	4.763E-01	
4.750E-02	4.667E-01	
4.800E-02	4.575E-01	
4.850E-02	4.487E-01	
4.900E-02	4.402E-01	
4.950E-02	4.321E-01	
5.000E-02	4.242E-01	
5.050E-02	4.167E-01	
5.100E-02	4.094E-01	
5.150E-02	4.024E-01	
5.200E-02	3.957E-01	
5.250E-02	3.892E-01	
5.300E-02	3.829E-01	
5.350E-02	3.769E-01	
5.400E-02	3.711E-01	
5.450E-02	3.655E-01	
5.500E-02	3.601E-01	
5.550E-02	3.548E-01	
5.600E-02	3.498E-01	
5.650E-02	3.449E-01	
5.700E-02	3.402E-01	
5.750E-02	3.356E-01	
5.800E-02	3.312E-01	
5.850E-02	3.269E-01	
5.900E-02	3.227E-01	
5.950E-02	3.187E-01	
6.000E-02	3.148E-01	
6.050E-02	3.111E-01	
6.100E-02	3.074E-01	
6.150E-02	3.039E-01	
6.200E-02	3.004E-01	
6.250E-02	2.971E-01	
6.300E-02	2.939E-01	
6.350E-02	2.907E-01	
6.400E-02	2.877E-01	
6.450E-02	2.847E-01	
6.500E-02	2.818E-01	
6.550E-02	2.790E-01	
6.600E-02	2.763E-01	
6.650E-02	2.737E-01	
6.700E-02	2.711E-01	
6.750E-02	2.686E-01	
6.800E-02	2.662E-01	
6.850E-02	2.638E-01	
6.900E-02	2.615E-01	
6.950E-02	2.592E-01	
7.000E-02	2.570E-01
7.050E-02	2.549E-01	
7.100E-02	2.528E-01	
7.150E-02	2.508E-01	
7.200E-02	2.488E-01	
7.250E-02	2.469E-01	
7.300E-02	2.450E-01	
7.350E-02	2.432E-01	
7.400E-02	2.414E-01	
7.450E-02	2.397E-01	
7.500E-02	2.379E-01	
7.550E-02	2.363E-01	
7.600E-02	2.347E-01	
7.650E-02	2.331E-01	
7.700E-02	2.315E-01	
7.750E-02	2.300E-01	
7.800E-02	2.285E-01	
7.850E-02	2.271E-01	
7.900E-02	2.256E-01	
7.950E-02	2.242E-01	
8.000E-02	2.229E-01	
8.050E-02	2.216E-01	
8.100E-02	2.203E-01	
8.150E-02	2.190E-01	
8.200E-02	2.177E-01	
8.250E-02	2.165E-01	
8.300E-02	2.153E-01	
8.350E-02	2.141E-01	
8.400E-02	2.130E-01	
8.450E-02	2.119E-01	
8.500E-02	2.108E-01	
8.550E-02	2.097E-01	
8.600E-02	2.086E-01	
8.650E-02	2.076E-01	
8.700E-02	2.066E-01	
8.750E-02	2.056E-01	
8.800E-02	2.046E-01	
8.850E-02	2.036E-01	
8.900E-02	2.027E-01	
8.950E-02	2.017E-01	
9.000E-02	2.008E-01
	
