Energy(MeV)	Mass Attenuation(cm^2/g)
6.950E-02 	1.927E-01 
7.000E-02 	1.921E-01
7.050E-02	1.916E-01	
7.100E-02	1.911E-01	
7.150E-02	1.905E-01	
7.200E-02	1.900E-01	
7.250E-02	1.895E-01	
7.300E-02	1.890E-01	
7.350E-02	1.885E-01	
7.400E-02	1.880E-01	
7.450E-02	1.875E-01	
7.500E-02	1.871E-01	
7.550E-02	1.866E-01	
7.600E-02	1.861E-01	
7.650E-02	1.857E-01	
7.700E-02	1.852E-01	
7.750E-02	1.848E-01	
7.800E-02	1.844E-01	
7.850E-02	1.839E-01	
7.900E-02	1.835E-01	
7.950E-02	1.831E-01	
8.000E-02	1.827E-01	
8.050E-02	1.823E-01	
8.100E-02	1.819E-01	
8.150E-02	1.815E-01	
8.200E-02	1.811E-01	
8.250E-02	1.807E-01	
8.300E-02	1.803E-01	
8.350E-02	1.799E-01	
8.400E-02	1.796E-01	
8.450E-02	1.792E-01	
8.500E-02	1.788E-01	
8.550E-02	1.785E-01	
8.600E-02	1.781E-01	
8.650E-02	1.778E-01	
8.700E-02	1.774E-01	
8.750E-02	1.771E-01	
8.800E-02	1.767E-01	
8.850E-02	1.764E-01	
8.900E-02	1.761E-01	
8.950E-02	1.758E-01	
9.000E-02	1.754E-01	
9.050E-02	1.751E-01	
9.100E-02	1.748E-01	
9.150E-02	1.745E-01	
9.200E-02	1.742E-01	
9.250E-02	1.738E-01	
9.300E-02	1.735E-01	
9.350E-02	1.732E-01	
9.400E-02	1.729E-01	
9.450E-02	1.726E-01	
9.500E-02	1.723E-01	
9.550E-02	1.720E-01	
9.600E-02	1.718E-01	
9.650E-02	1.715E-01	
9.700E-02	1.712E-01	
9.750E-02	1.709E-01	
9.800E-02	1.706E-01	
9.850E-02	1.703E-01	
9.900E-02	1.701E-01	
9.950E-02	1.698E-01	
1.000E-01	1.695E-01	
1.005E-01	1.692E-01	
1.010E-01	1.690E-01	
1.015E-01	1.687E-01	
1.020E-01	1.684E-01	
1.025E-01	1.682E-01	
1.030E-01	1.679E-01	
1.035E-01	1.677E-01	
1.040E-01	1.674E-01	
1.045E-01	1.672E-01	
1.050E-01	1.669E-01	
1.055E-01	1.667E-01	
1.060E-01	1.664E-01	
1.065E-01	1.662E-01	
1.070E-01	1.659E-01	
1.075E-01	1.657E-01	
1.080E-01	1.654E-01	
1.085E-01	1.652E-01	
1.090E-01	1.650E-01	
1.095E-01	1.647E-01	
1.100E-01	1.645E-01	
1.105E-01	1.642E-01	
1.110E-01	1.640E-01	
1.115E-01	1.638E-01	
1.120E-01	1.636E-01	
1.125E-01	1.633E-01	
1.130E-01	1.631E-01	
1.135E-01	1.629E-01	
1.140E-01	1.627E-01	
1.145E-01	1.624E-01	
1.150E-01	1.622E-01	
1.155E-01	1.620E-01	
1.160E-01	1.618E-01	
1.165E-01	1.616E-01	
1.170E-01	1.613E-01	
1.175E-01	1.611E-01	
1.180E-01	1.609E-01	
1.185E-01	1.607E-01	
1.190E-01	1.605E-01	
1.195E-01	1.603E-01	
1.200E-01	1.601E-01
